id,name,charge,formula
2dr5p_c,2-Deoxy-D-ribose 5-phosphate,-2.0,C5H9O7P
2h3oppan_c,2-Hydroxy-3-oxopropanoate,-1.0,C3H3O4
2hdec9eg3p_c,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,-1.0,C19H36O7P1
2hdec9eg3p_p,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,-1.0,C19H36O7P1
2hdecg3p_c,2-hexadecanoyl-sn-glycerol 3-phosphate,-1.0,C19H38O7P1
2hdecg3p_p,2-hexadecanoyl-sn-glycerol 3-phosphate,-1.0,C19H38O7P1
2ippm_c,2-Isopropylmaleate,-2.0,C7H8O4
2kmb_c,2-keto-4-methylthiobutyrate,-1.0,C5H7O3S
2mahmp_c,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,-3.0,C6H8N3O7P2
2mcacn_c,Cis-2-Methylaconitate,-3.0,C7H5O6
2mcit_c,2-Methylcitrate,-3.0,C7H7O7
2me4p_c,2-C-methyl-D-erythritol 4-phosphate,-2.0,C5H11O7P
2mecdp_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",-2.0,C5H10O9P2
2obut_c,2-Oxobutanoate,-1.0,C4H5O3
2odec11eg3p_c,2-octadec-11-enoyl-sn-glycerol 3-phosphate,-1.0,C21H40O7P1
2odec11eg3p_p,2-octadec-11-enoyl-sn-glycerol 3-phosphate,-1.0,C21H40O7P1
2odecg3p_c,2-octadecanoyl-sn-glycerol 3-phosphate,-1.0,C21H42O7P1
2odecg3p_p,2-octadecanoyl-sn-glycerol 3-phosphate,-1.0,C21H42O7P1
2ohph_c,2-Octaprenyl-6-hydroxyphenol,0.0,C46H70O2
2ombzl_c,"2-Octaprenyl-6-methoxy-1,4-benzoquinol",0.0,C47H72O3
2omhmbl_c,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol",0.0,C48H74O4
2ommbl_c,"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol",0.0,C48H74O3
2omph_c,2-Octaprenyl-6-methoxyphenol,0.0,C47H72O2
2oph_c,2-Octaprenylphenol,0.0,C46H70O
2p4c2me_c,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,-4.0,C14H22N3O17P3
2pg_c,D-Glycerate 2-phosphate,-3.0,C3H4O7P
2pglyc_c,2-Phosphoglycolate,-3.0,C2H2O6P
2shchc_c,"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",-2.0,C11H10O6
2tdec7eg3p_c,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,-1.0,C17H32O7P1
2tdec7eg3p_p,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,-1.0,C17H32O7P1
2tdecg3p_c,2-tetradecanoyl-sn-glycerol 3-phosphate,-1.0,C17H34O7P1
2tdecg3p_p,2-tetradecanoyl-sn-glycerol 3-phosphate,-1.0,C17H34O7P1
2tpr3dpcoa_c,2'-(5''-triphosphoribosyl)-3'-dephospho-CoA,-6.0,C26H40N7O26P5S
34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde",0.0,C8H8O3
34dhpac_p,"3,4-Dihydroxyphenylacetaldehyde",0.0,C8H8O3
34hpp_c,3-(4-Hydroxyphenyl)pyruvate,-1.0,C9H7O4
3amp_e,3  AMP C10H12N5O7P,-2.0,C10H12N5O7P
3amp_p,3  AMP C10H12N5O7P,-2.0,C10H12N5O7P
3c2hmp_c,3-Carboxy-2-hydroxy-4-methylpentanoate,-2.0,C7H10O5
3c3hmp_c,3-Carboxy-3-hydroxy-4-methylpentanoate,-2.0,C7H10O5
3c4mop_c,3-Carboxy-4-methyl-2-oxopentanoate,-2.0,C7H8O5
3cmp_e,3  CMP C9H12N3O8P,-2.0,C9H12N3O8P
3cmp_p,3  CMP C9H12N3O8P,-2.0,C9H12N3O8P
3dhguln_c,3-Dehydro-L-gulonate,-1.0,C6H9O7
3dhgulnp_c,3-keto-L-gulonate-6-phosphate,-3.0,C6H8O10P
3dhq_c,3-Dehydroquinate,-1.0,C7H9O6
