i,k,s,rxn,met
53,825,1.0,FBP26,pi_c
785,825,-1.0,FBP26,f26bp_c
786,825,1.0,FBP26,f6p_c
8,826,1.0,PFK26,h_c
50,826,-1.0,PFK26,atp_c
52,826,1.0,PFK26,adp_c
785,826,1.0,PFK26,f26bp_c
786,826,-1.0,PFK26,f6p_c
450,827,-1.0,PMANM,man1p_c
787,827,1.0,PMANM,man6p_c
8,828,-1.0,SBTR,h_c
11,828,1.0,SBTR,nadp_c
12,828,-1.0,SBTR,nadph_c
248,828,-1.0,SBTR,glc_D_c
788,828,1.0,SBTR,sbt_D_c
5,829,-1.0,GTHP,h2o2_c
13,829,2.0,GTHP,h2o_c
347,829,-2.0,GTHP,gthrd_c
348,829,1.0,GTHP,gthox_c
46,830,2.0,GTHPm,h2o_m
362,830,-2.0,GTHPm,gthrd_m
762,830,-1.0,GTHPm,h2o2_m
792,830,1.0,GTHPm,gthox_m
8,831,1.0,OPAHir,h_c
13,831,-2.0,OPAHir,h2o_c
50,831,-1.0,OPAHir,atp_c
52,831,1.0,OPAHir,adp_c
53,831,1.0,OPAHir,pi_c
121,831,1.0,OPAHir,glu_L_c
789,831,-1.0,OPAHir,5oxpro_c
43,832,1.0,r0022,h_m
44,832,1.0,r0022,nadh_m
47,832,-1.0,r0022,nad_m
362,832,-2.0,r0022,gthrd_m
792,832,1.0,r0022,gthox_m
44,833,1.0,GLYCLm,nadh_m
47,833,-1.0,GLYCLm,nad_m
339,833,-1.0,GLYCLm,gly_m
342,833,1.0,GLYCLm,co2_m
793,833,-1.0,GLYCLm,thf_m
794,833,1.0,GLYCLm,nh4_m
795,833,1.0,GLYCLm,mlthf_m
118,834,1.0,THRA,gly_c
170,834,-1.0,THRA,thr_L_c
797,834,1.0,THRA,acald_c
4,835,1.0,HISD,nh4_c
257,835,-1.0,HISD,his_L_c
798,835,1.0,HISD,urcan_c
8,836,1.0,IZPN,h_c
13,836,-1.0,IZPN,h2o_c
799,836,-1.0,IZPN,4izp_c
800,836,1.0,IZPN,forglu_c
7,837,-1.0,MACOXO,nad_c
8,837,2.0,MACOXO,h_c
10,837,1.0,MACOXO,nadh_c
13,837,-1.0,MACOXO,h2o_c
801,837,-1.0,MACOXO,3mldz_c
802,837,1.0,MACOXO,3mlda_c
13,838,-1.0,URCN,h2o_c
798,838,-1.0,URCN,urcan_c
799,838,1.0,URCN,4izp_c
44,839,1.0,2OXOADOXm,nadh_m
47,839,-1.0,2OXOADOXm,nad_m
130,839,-1.0,2OXOADOXm,coa_m
342,839,1.0,2OXOADOXm,co2_m
804,839,-1.0,2OXOADOXm,2oxoadp_m
805,839,1.0,2OXOADOXm,glutcoa_m
8,840,-1.0,AAPSAS,h_c
13,840,-1.0,AAPSAS,h2o_c
806,840,-1.0,AAPSAS,thp2c_c
807,840,1.0,AAPSAS,L2aadp6sa_c
7,841,-1.0,AASAD3,nad_c
8,841,2.0,AASAD3,h_c
10,841,1.0,AASAD3,nadh_c
13,841,-1.0,AASAD3,h2o_c
807,841,-1.0,AASAD3,L2aadp6sa_c
808,841,1.0,AASAD3,L2aadp_c
43,842,2.0,AASAD3m,h_m
44,842,1.0,AASAD3m,nadh_m
46,842,-1.0,AASAD3m,h2o_m
47,842,-1.0,AASAD3m,nad_m
809,842,-1.0,AASAD3m,L2aadp6sa_m
810,842,1.0,AASAD3m,L2aadp_m
120,843,-1.0,AATAi,akg_c
121,843,1.0,AATAi,glu_L_c
808,843,-1.0,AATAi,L2aadp_c
811,843,1.0,AATAi,2oxoadp_c
13,844,-1.0,AHC,h2o_c
160,844,1.0,AHC,adn_c
803,844,-1.0,AHC,ahcys_c
813,844,1.0,AHC,hcys_L_c
7,845,-1.0,MCLOR,nad_c
8,845,1.0,MCLOR,h_c
10,845,1.0,MCLOR,nadh_c
814,845,-1.0,MCLOR,mercplac_c
815,845,1.0,MCLOR,mercppyr_c
8,846,1.0,MCPST,h_c
304,846,1.0,MCPST,pyr_c
815,846,-1.0,MCPST,mercppyr_c
816,846,-1.0,MCPST,cyan_c
817,846,1.0,MCPST,tcynt_c
13,847,-1.0,METAT,h2o_c
50,847,-1.0,METAT,atp_c
53,847,1.0,METAT,pi_c
86,847,-1.0,METAT,met_L_c
136,847,1.0,METAT,ppi_c
763,847,1.0,METAT,amet_c
7,848,1.0,34DHOXPEGOX,nad_c
8,848,-1.0,34DHOXPEGOX,h_c
10,848,-1.0,34DHOXPEGOX,nadh_c
819,848,-1.0,34DHOXPEGOX,34dhmald_c
820,848,1.0,34DHOXPEGOX,34dhoxpeg_c
3,849,-1.0,DOPACHRMISO,o2_c
13,849,2.0,DOPACHRMISO,h2o_c
821,849,-2.0,DOPACHRMISO,2c23dh56dhoxin_c
822,849,2.0,DOPACHRMISO,L_dpchrm_c
7,850,-1.0,FALDH,nad_c
8,850,1.0,FALDH,h_c
10,850,1.0,FALDH,nadh_c
347,850,-1.0,FALDH,gthrd_c
823,850,-1.0,FALDH,fald_c
824,850,1.0,FALDH,Sfglutth_c
3,851,-1.0,MAOX,o2_c
4,851,1.0,MAOX,nh4_c
5,851,1.0,MAOX,h2o2_c
13,851,-1.0,MAOX,h2o_c
823,851,1.0,MAOX,fald_c
827,851,-1.0,MAOX,mma_c
8,852,1.0,NRPPHRSULT,h_c
15,852,-1.0,NRPPHRSULT,paps_c
16,852,1.0,NRPPHRSULT,pap_c
281,852,-1.0,NRPPHRSULT,nrpphr_c
828,852,1.0,NRPPHRSULT,nrpphrsf_c
8,853,1.0,RE0912C,h_c
15,853,-1.0,RE0912C,paps_c
16,853,1.0,RE0912C,pap_c
829,853,-1.0,RE0912C,CE2866_c
830,853,1.0,RE0912C,CE2870_c
3,854,-1.0,TYROX,o2_c
4,854,1.0,TYROX,nh4_c
5,854,1.0,TYROX,h2o2_c
13,854,-1.0,TYROX,h2o_c
311,854,-1.0,TYROX,tyr_L_c
832,854,1.0,TYROX,34hpp_c
120,855,-1.0,TYRTA,akg_c
121,855,1.0,TYRTA,glu_L_c
311,855,-1.0,TYRTA,tyr_L_c
832,855,1.0,TYRTA,34hpp_c
123,856,-1.0,TYRTAm,akg_m
124,856,1.0,TYRTAm,glu_L_m
833,856,-1.0,TYRTAm,tyr_L_m
834,856,1.0,TYRTAm,34hpp_m
43,857,1.0,3HBCOAHLm,h_m
46,857,-1.0,3HBCOAHLm,h2o_m
130,857,1.0,3HBCOAHLm,coa_m
836,857,-1.0,3HBCOAHLm,3hibutcoa_m
837,857,1.0,3HBCOAHLm,3hmp_m
130,858,-1.0,ACACT10m,coa_m
133,858,1.0,ACACT10m,ppcoa_m
402,858,1.0,ACACT10m,accoa_m
838,858,-1.0,ACACT10m,2maacoa_m
137,859,-1.0,ACOAD10m,fad_m
139,859,1.0,ACOAD10m,fadh2_m
839,859,-1.0,ACOAD10m,2mbcoa_m
840,859,1.0,ACOAD10m,2mb2coa_m
137,860,-1.0,ACOAD8m,fad_m
139,860,1.0,ACOAD8m,fadh2_m
841,860,-1.0,ACOAD8m,ivcoa_m
842,860,1.0,ACOAD8m,3mb2coa_m
137,861,-1.0,ACOAD9m,fad_m
139,861,1.0,ACOAD9m,fadh2_m
843,861,-1.0,ACOAD9m,ibcoa_m
844,861,1.0,ACOAD9m,2mp2coa_m
46,862,-1.0,ECOAH12m,h2o_m
836,862,1.0,ECOAH12m,3hibutcoa_m
844,862,-1.0,ECOAH12m,2mp2coa_m
46,863,-1.0,ECOAH9m,h2o_m
840,863,-1.0,ECOAH9m,2mb2coa_m
845,863,1.0,ECOAH9m,3hmbcoa_m
43,864,1.0,HACD9m,h_m
44,864,1.0,HACD9m,nadh_m
47,864,-1.0,HACD9m,nad_m
838,864,1.0,HACD9m,2maacoa_m
845,864,-1.0,HACD9m,3hmbcoa_m
43,865,1.0,HIBDm,h_m
44,865,1.0,HIBDm,nadh_m
47,865,-1.0,HIBDm,nad_m
835,865,1.0,HIBDm,2mop_m
837,865,-1.0,HIBDm,3hmp_m
3,866,-1.0,ILEOX,o2_c
4,866,1.0,ILEOX,nh4_c
5,866,1.0,ILEOX,h2o2_c
